COURSE OF STUDY DISTRICT,MEDICINE University of Colombo,MEDICINE University of Peradeniya,MEDICINE University of Sri Jayewardenepura,MEDICINE University of Kelaniya,MEDICINE University of Jaffna,MEDICINE University of Ruhuna,MEDICINE University of Moratuwa,"MEDICINE Eastern University, Sri Lanka",MEDICINE Rajarata University of Sri Lanka,MEDICINE Sabaragamuwa University of Sri Lanka,MEDICINE Wayamba University of Sri Lanka,DENTAL SURGERY University of Peradeniya,VETERINARY SCIENCE University of Peradeniya,MOLECULAR BIOLOGY & BIOCHEMISTRY University of Colombo,AGRICULTURAL TECHNOLOGY & MANAGEMENT University of Peradeniya,AGRICULTURE University of Jaffna,"AGRICULTURE Eastern University, Sri Lanka",AGRICULTURE Rajarata University of Sri Lanka,AGRICULTURE Sabaragamuwa University of Sri Lanka,AGRICULTURE Wayamba University of Sri Lanka,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,BIOLOGICAL SCIENCE University of Colombo,BIOLOGICAL SCIENCE University of Peradeniya,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,BIOLOGICAL SCIENCE University of Kelaniya,BIOLOGICAL SCIENCE University of Jaffna,BIOLOGICAL SCIENCE University of Ruhuna,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,ENGINEERING University of Peradeniya,ENGINEERING University of Sri Jayewardenepura,ENGINEERING University of Jaffna,ENGINEERING University of Ruhuna,ENGINEERING University of Moratuwa,ENGINEERING South Eastern University of Sri Lanka,QUANTITY SURVEYING University of Moratuwa,COMPUTER SCIENCE University of Kelaniya,COMPUTER SCIENCE University of Jaffna,COMPUTER SCIENCE University of Ruhuna,COMPUTER SCIENCE University of Colombo School of Computing,COMPUTER SCIENCE Eastern University - Trincomalee Campus,PHYSICAL SCIENCE University of Colombo,PHYSICAL SCIENCE University of Peradeniya,PHYSICAL SCIENCE University of Sri Jayewardenepura,PHYSICAL SCIENCE University of Kelaniya,PHYSICAL SCIENCE University of Jaffna,PHYSICAL SCIENCE University of Ruhuna,"PHYSICAL SCIENCE Eastern University, Sri Lanka",PHYSICAL SCIENCE South Eastern University of Sri Lanka,SURVEYING SCIENCE Sabaragamuwa University of Sri Lanka,MANAGEMENT University of Colombo,MANAGEMENT University of Peradeniya,MANAGEMENT University of Sri Jayewardenepura,MANAGEMENT University of Kelaniya,MANAGEMENT University of Jaffna,MANAGEMENT University of Ruhuna,"MANAGEMENT Eastern University, Sri Lanka",MANAGEMENT South Eastern University of Sri Lanka,MANAGEMENT Rajarata University of Sri Lanka,MANAGEMENT Sabaragamuwa University of Sri Lanka,MANAGEMENT Wayamba University of Sri Lanka,ESTATE MANAGEMENT & VALUATION University of Sri Jayewardenepura,COMMERCE University of Sri Jayewardenepura,COMMERCE University of Kelaniya,COMMERCE University of Jaffna,"COMMERCE Eastern University, Sri Lanka",COMMERCE South Eastern University of Sri Lanka,FINANCIAL ENGINEERING  University of Kelaniya,LAW University of Colombo,LAW University of Peradeniya,LAW University of Jaffna,ARTS  University of Colombo,ARTS  University of Peradeniya,ARTS  University of Sri Jayewardenepura,ARTS  University of Kelaniya,ARTS  University of Jaffna,ARTS  University of Ruhuna,"ARTS  Eastern University, Sri Lanka",ARTS  South Eastern University of Sri Lanka,ARTS  Rajarata University of Sri Lanka,SOCIAL WORK  University of Peradeniya,HUMAN RESOURCE DEVELOPMENT Uva Wellassa University of Sri Lanka,COMMUNICATION STUDIES  Eastern University -Trincomalee Campus,PEACE & CONFLICT RESOLUTION  University of Kelaniya,ISLAMIC STUDIES   South Eastern University of Sri Lanka,ARABIC  LANGUAGE  South Eastern University of Sri Lanka,ARCHITECTURE  University of Moratuwa,DESIGN  University of Moratuwa,LANDSCAPE ARCHITECTURE  University of Moratuwa,TOWN & COUNTRY PLANNING University of Moratuwa,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,INFORMATION TECHNOLOGY & MANAGEMENT University of Moratuwa,FACILITIES MANAGEMENT University of Moratuwa,TRANSPORT & LOGISTICS MANAGEMENT University of Moratuwa,BUSINESS SCIENCE University of Moratuwa,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,COMPUTATION & MANAGEMENT University of Peradeniya,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,INFORMATION SYSTEMS  University of Colombo School of Computing,SOFTWARE ENGINEERING University of Kelaniya,SOFTWARE ENGINEERING Sabaragamuwa University of Sri Lanka,AYURVEDIC MEDICINE & SURGERY Institute of Indigenous  Medicine,AYURVEDIC MEDICINE & SURGERY Gampaha Wickramaarachchi  Ayurveda Institute,UNANI MEDICINE & SURGERY Institute of Indigenous  Medicine,SIDDHA MEDICINE & SURGERY University of Jaffna,SIDDHA MEDICINE & SURGERY Eastern University - Trincomalee Campus,HEALTH PROMOTION Rajarata University of Sri Lanka,NURSING University of Colombo,NURSING University of Peradeniya,NURSING University of Sri Jayewardenepura,NURSING University of Jaffna,NURSING University of Ruhuna,"NURSING Eastern University, Sri Lanka",PHARMACY University of Peradeniya,PHARMACY University of Sri Jayewardenepura,PHARMACY University of Jaffna,PHARMACY University of Ruhuna,MEDICAL LABORATORY SCIENCES University of Peradeniya,MEDICAL LABORATORY SCIENCES University of Sri Jayewardenepura,MEDICAL LABORATORY SCIENCES University of Jaffna,MEDICAL LABORATORY SCIENCES University of Ruhuna,RADIOGRAPHY University of Peradeniya,PHYSIOTHERAPY University of Colombo,PHYSIOTHERAPY University of Peradeniya,ENVIRONMENTAL CONSERVATION & MANAGEMENT University of Kelaniya,FISHERIES & MARINE SCIENCES University of Ruhuna,MARINE AND FRESHWATER SCIENCES University of Ruhuna,ANIMAL SCIENCE & FISHERIES University of Peradeniya,FOOD  PRODUCTION & TECHNOLOGY MANAGEMENT Wayamba University of Sri Lanka,FOOD BUSINESS MANAGEMENT Sabaragamuwa University of Sri Lanka,COMPUTING & INFORMATION SYSTEMS Sabaragamuwa University of Sri Lanka,PHYSICAL EDUCATION   Sabaragamuwa University of Sri Lanka,SPORTS SCIENCE & MANAGEMENT   University of Sri Jayewardenepura,SPORTS SCIENCE & MANAGEMENT   Sabaragamuwa University of Sri Lanka,SPEECH AND HEARING SCIENCES  University of Kelaniya,TOURISM & HOSPITALITY MANAGEMENT Rajarata University of Sri Lanka,TOURISM & HOSPITALITY MANAGEMENT Sabaragamuwa University of Sri Lanka,AGRICULTURAL RESOURCE MANAGEMENT & TECHNOLOGY University of Ruhuna,AGRI BUSINESS MANAGEMENT University of Ruhuna,GREEN TECHNOLOGY University of Ruhuna,SCIENCE AND TECHNOLOGY Uva Wellassa University of Sri Lanka,COMPUTER SCIENCE & TECHNOLOGY   Uva Wellassa University of Sri Lanka,ENTREPRENEURSHIP & MANAGEMENT   Uva Wellassa University of Sri Lanka,ANIMAL SCIENCE Uva Wellassa University of Sri Lanka,EXPORT AGRICULTURE Uva Wellassa University of Sri Lanka,TEA TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,INDUSTRIAL INFORMATION TECHNOLOGY   Uva Wellassa University of Sri Lanka,MINERAL RESOURCES AND TECHNOLOGY Uva Wellassa University of Sri Lanka,AQUATIC RESOURCES TECHNOLOGY Uva Wellassa University of Sri Lanka,PALM AND LATEX TECHNOLOGY & VALUE ADDITION Uva Wellassa University of Sri Lanka,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT    Uva Wellassa University of Sri Lanka",INFORMATION COMMUNICATION TECHNOLOGY University of Colombo,INFORMATION COMMUNICATION TECHNOLOGY University of Sri Jayewardenepura,INFORMATION COMMUNICATION TECHNOLOGY University of Kelaniya,INFORMATION COMMUNICATION TECHNOLOGY University of Ruhuna,INFORMATION COMMUNICATION TECHNOLOGY South Eastern University of Sri Lanka,INFORMATION COMMUNICATION TECHNOLOGY Rajarata University of Sri Lanka,INFORMATION COMMUNICATION TECHNOLOGY University of Jaffna - Vavuniya Campus,INFORMATION COMMUNICATION TECHNOLOGY Uva Wellassa University of Sri Lanka,PHYSICAL SCIENCE -ICT University of Sri Jayewardenepura,PHYSICAL SCIENCE -ICT University of Kelaniya,TRANSLATION STUDIES   University of Kelaniya,TRANSLATION STUDIES   Sabaragamuwa University of Sri Lanka,TRANSLATION STUDIES   University of Jaffna,"TRANSLATION STUDIES   Eastern University, Sri Lanka",FILM & TELEVISION STUDIES   University of Kelaniya,PROJECT MANAGEMENT University of Jaffna - Vavuniya Campus,VISUAL ARTS   University of the Visual & Performing Arts,MUSIC    University of the Visual & Performing Arts,DANCE   University of the Visual & Performing Arts,DRAMA & THEATRE   University of the Visual & Performing Arts,ART & DESIGN   Ramanathan Academy of Fine Arts,MUSIC   Ramanathan Academy of Fine Arts,DANCE   Ramanathan Academy of Fine Arts,VISUAL & TECHNOLOGICAL ARTS   Swami Vipulananda Institute of Aesthetic Studies,MUSIC    Swami Vipulananda Institute of Aesthetic Studies,DANCE   Swami Vipulananda Institute of Aesthetic Studies,DRAMA & THEATRE   Swami Vipulananda Institute of Aesthetic Studies
COLOMBO,2.4546,2.3255,2.2572,2.2016,2.0858,2.1392,2.0676,NQC,2.0957,NQC,NQC,2.0326,1.8619,1.9949,1.5348,0.9845,1.0438,0.9613,1.1013,1.0427,1.4539,1.8514,1.7577,NQC,1.7667,1.6793,1.5357,1.4785,1.4413,1.4327,NQC,NQC,2.063,1.9771,NQC,1.8596,2.1944,NQC,1.7992,1.702,1.3623,1.5317,1.7533,1.3374,1.5668,1.468,1.3618,1.2816,NQC,1.218,NQC,NQC,1.4067,1.7418,1.6036,1.8391,1.6417,1.274,1.4347,1.2717,1.2674,1.3318,1.3914,1.426,1.6303,1.6139,1.5102,1.2496,1.2557,1.2509,1.4807,1.966,1.9265,1.7806,1.7576,1.6055,1.565,1.5054,1.307,1.4257,1.138,1.4168,1.3999,1.706,1.6185,1.2976,1.7772,0.9976,0.6114,1.4412,1.0809,1.1396,1.6554,1.1749,1.9169,1.6327,1.7772,1.7317,1.6129,1.3598,1.5552,1.677,1.7794,1.4543,1.724,1.5804,1.3965,1.3201,1.3174,0.9421,0.9138,1.113,1.2649,NQC,1.212,NQC,1.0113,1.0435,NQC,1.7047,1.4667,1.5626,1.9346,1.8271,NQC,1.7891,1.6748,1.8299,1.7577,1.3017,1.1715,1.1178,1.4588,1.2702,1.3012,1.139,-0.4142,0.9785,0.8304,1.4281,1.3674,1.4001,1.1558,1.2223,1.2613,1.1538,1.0544,1.2795,1.0109,1.0392,1.0674,1.2028,1.1181,0.9878,0.9699,1.2746,1.6866,1.6594,1.486,1.3097,0.9706,1.065,0.9457,1.0993,1.1037,1.1978,1.3378,0.8969,0.6638,NQC,1.1573,1.3829,0.9358,0.7157,0.9235,0.5865,-0.3314,-0.0797,0.5468,NQC,-0.5249,-0.4221,-0.1472
GAMPAHA,2.501,2.3317,2.43,2.2054,1.9626,2.1446,1.9289,NQC,2.0626,1.9173,1.9238,1.913,1.89,1.9077,1.688,0.8692,0.7995,0.9507,1.1023,1.0294,1.4708,1.7948,1.7478,1.6597,1.7865,1.6501,1.5403,1.4828,1.1882,1.3687,NQC,1.3305,2.0711,1.9761,1.6726,1.8512,2.2013,1.661,1.7414,1.7036,1.3671,1.5697,1.7681,1.0503,1.5712,1.4676,1.3613,1.2832,0.9152,1.1812,0.9917,0.9388,1.3517,1.74,1.6025,1.834,1.6442,1.3443,1.4369,NQC,1.3417,1.3387,1.391,1.4204,1.5533,1.6165,1.5102,1.2724,1.2723,1.2777,1.4572,1.9646,1.9298,1.705,1.7563,1.6005,1.564,1.5034,1.1767,1.4307,1.1072,1.2428,1.3995,1.706,1.7104,1.2976,1.7772,0.9976,0.6114,1.3554,0.2584,1.186,1.6192,0.9821,1.8737,1.6502,1.6945,1.6539,1.5988,1.1952,1.5978,1.5951,1.8757,1.2886,1.7262,1.5711,1.4032,1.2784,1.1676,0.5394,0.8769,0.9651,1.265,1.2544,1.2003,0.9405,1.041,0.8618,NQC,1.703,NQC,1.6937,NQC,1.8618,1.4571,NQC,1.692,1.8848,NQC,1.2007,1.1751,1.1611,1.3239,1.2994,1.2863,1.1333,0.339,1.0845,0.6783,1.4984,1.4216,1.4202,1.1097,1.1786,1.3237,1.0279,1.2848,1.262,0.9391,1.0696,0.9886,1.0682,1.1161,0.9798,0.9825,1.2764,1.8117,1.648,1.4999,1.3039,0.9692,1.0647,0.9166,1.0773,1.1031,0.9813,1.2508,1.23,0.4913,NQC,0.921,1.344,1.2707,0.8201,0.8504,0.5616,NQC,NQC,0.5575,NQC,NQC,-0.1858,NQC
KALUTARA,2.5199,2.3277,2.2924,2.2006,NQC,2.1625,NQC,NQC,2.0672,NQC,NQC,2.0355,1.9417,1.9906,1.581,1.065,NQC,0.9825,1.0828,1.0277,1.5003,NQC,1.784,NQC,1.9307,1.6697,1.5547,1.4842,NQC,1.4073,1.2944,1.2689,2.0716,2.0321,1.7864,1.8564,2.2083,1.7927,1.79,1.7186,NQC,1.5782,1.7697,NQC,1.5637,1.4688,1.3633,1.2827,NQC,1.2149,NQC,NQC,1.5486,1.7425,1.6263,1.8364,1.6442,1.4678,1.4375,NQC,1.3823,1.3785,1.392,1.4302,1.6195,1.6232,1.5232,1.3498,1.3466,1.3472,1.1819,1.9704,1.9288,1.7934,1.7567,1.6005,1.5722,1.504,1.2193,1.425,1.1151,1.2385,1.4022,1.706,1.5738,1.2976,1.7772,0.9976,0.6114,1.234,0.72,1.078,1.6386,0.8918,1.862,1.5802,1.7596,1.714,1.5294,1.405,1.521,1.6194,1.9219,1.0984,1.765,1.6335,1.4147,1.298,1.3829,NQC,0.943,1.1287,1.2974,NQC,NQC,NQC,1.1472,NQC,NQC,NQC,1.1672,1.6224,1.9399,NQC,NQC,1.7238,1.7033,1.9329,NQC,1.1703,1.0911,1.1822,1.3306,1.3483,1.3257,1.1999,0.7362,0.9822,0.7669,1.2957,NQC,1.4043,1.1511,1.147,1.2193,1.1602,1.3691,1.3263,1.0234,1.047,1.0362,0.989,1.1475,1.0296,0.9956,1.2587,1.6843,1.6504,1.4871,1.3253,1.0601,1.0784,NQC,1.0767,1.074,1.0531,NQC,0.8843,0.8635,1.0908,0.7875,1.3862,1.0508,1.016,1.1598,0.6111,0.2525,NQC,1.2601,NQC,NQC,0.0331,NQC
MATALE,2.5115,2.3456,NQC,NQC,NQC,NQC,2.1129,NQC,2.1166,1.8842,1.9473,1.8557,1.8452,1.692,1.2934,1.0423,0.8997,1.0682,NQC,NQC,1.3013,NQC,NQC,1.1929,NQC,1.7218,NQC,NQC,1.0936,NQC,0.9831,1.1706,NQC,NQC,1.6401,1.9637,NQC,NQC,1.3832,NQC,NQC,NQC,NQC,1.0436,NQC,NQC,NQC,NQC,0.7967,1.2149,0.6535,0.8534,1.1668,1.7535,1.6312,1.8561,1.6408,1.1997,NQC,1.1793,1.1706,1.3446,NQC,1.4246,1.5524,1.63,1.5236,1.137,1.1456,1.1468,1.2414,1.9784,1.9239,1.9065,1.8045,1.6142,1.5685,1.5051,1.168,1.4652,1.107,1.311,1.4022,1.706,1.6101,1.2976,1.7772,0.9976,0.6114,1.5407,NQC,1.058,1.4406,1.0005,1.7822,1.4201,1.3289,1.7148,1.1594,1.1188,1.2982,1.6792,1.9329,NQC,NQC,1.6323,NQC,1.3153,0.9637,0.782,0.9025,0.8532,1.3364,NQC,NQC,0.9229,NQC,NQC,NQC,NQC,1.2603,NQC,NQC,NQC,1.6156,NQC,1.5841,NQC,1.6628,1.0129,0.7219,1.1927,1.1723,0.7767,1.1142,1.2316,1.0661,0.9987,NQC,1.3065,1.3808,NQC,0.9184,0.8796,1.1319,0.7451,0.9881,1.2452,0.733,0.9186,0.9687,1.0379,1.1172,0.7288,0.6852,1.2186,NQC,1.6626,1.6159,NQC,1.1092,1.1019,1.2327,1.2624,1.0819,NQC,NQC,0.6078,1.159,1.0688,1.2176,1.4172,1.0746,0.8519,1.0851,0.4412,1.0954,0.2488,1.0683,-0.1356,1.0637,-0.459,0.0411
KANDY,2.5805,2.3727,2.266,2.199,1.9955,2.1403,2.0031,NQC,2.058,2.013,1.9852,1.9612,1.9482,1.9561,1.7639,1.4291,1.153,1.0569,1.1451,1.0448,1.5409,1.9224,NQC,1.5605,1.8081,1.645,1.5588,1.4871,1.3271,1.4059,NQC,1.3178,2.0714,1.9921,1.6026,1.8537,2.1971,1.7021,1.6057,1.7109,1.365,1.6436,1.7961,1.0563,1.5764,1.4644,1.3646,1.2844,0.8491,1.201,0.8532,0.9594,1.4178,1.7481,1.6024,1.8396,1.6471,1.2974,1.4462,1.303,1.2926,1.3391,1.3963,1.4216,1.6299,1.6416,1.525,1.2526,1.2519,1.2662,1.4738,1.9967,1.931,1.7846,1.77,1.6005,1.5654,1.5041,1.1738,1.43,1.1243,1.244,1.3999,1.706,1.6957,1.2976,1.7772,0.9976,0.6114,1.4199,0.8426,1.1973,1.718,0.74,1.7076,1.4558,1.6811,1.5243,1.546,1.185,1.5856,1.7397,1.8838,1.2289,2.0848,1.5306,1.4555,1.2899,1.1539,NQC,0.9889,1.0217,NQC,1.3599,NQC,0.9537,1.0229,0.9747,NQC,NQC,NQC,1.6836,1.8996,1.8689,1.6314,NQC,1.5025,NQC,1.6791,1.277,1.1627,1.1376,1.3972,1.31,1.2426,1.2101,0.7663,1.0578,0.7945,1.2561,1.4354,1.4131,1.1939,1.116,1.3226,1.1583,1.3333,1.3287,1.0167,1.0013,0.9938,1.1709,1.1332,1.0304,0.9527,1.2539,1.8605,1.6809,1.5451,1.3122,0.9718,1.0822,0.916,1.196,1.0874,0.9398,NQC,1.1265,0.9521,0.6913,1.0525,1.3815,0.7957,1.0009,1.1519,1.0818,0.0578,0.2481,0.479,NQC,-0.345,-0.0739,-0.1318
NUWARA ELIYA,2.8375,2.3809,NQC,NQC,1.9626,NQC,1.9691,1.4744,2.0357,NQC,1.8684,1.4729,1.437,1.4608,1.3991,0.8936,0.9256,1.0068,NQC,1.1197,1.1645,NQC,NQC,1.1316,NQC,NQC,NQC,NQC,1.0854,NQC,0.9798,0.7542,2.1218,NQC,1.5478,1.9647,2.3184,1.2693,1.7358,NQC,NQC,NQC,NQC,0.8378,NQC,NQC,NQC,NQC,0.7743,NQC,0.4816,0.505,1.0263,1.7424,1.6048,1.8513,1.6471,1.1285,1.4535,1.1124,1.1137,1.3435,1.3915,1.4351,1.3809,NQC,1.5194,NQC,1.0755,1.0805,NQC,NQC,1.9352,1.7061,NQC,1.6056,1.6764,1.5038,1.1685,1.4407,1.1074,1.252,1.4016,1.706,1.7134,1.2976,1.7772,0.9976,0.6114,1.405,NQC,0.8055,1.397,NQC,1.6803,1.5332,1.315,1.5923,1.1797,0.9379,1.263,1.5543,1.9871,NQC,NQC,1.091,NQC,0.9751,1.154,0.6998,NQC,0.9776,NQC,NQC,NQC,0.8735,NQC,0.6782,NQC,NQC,1.1258,NQC,NQC,NQC,1.4579,NQC,1.2589,NQC,1.4277,0.8845,0.7695,0.6707,0.9541,1.0917,1.0585,0.8332,0.2297,1.0317,NQC,NQC,1.4187,1.4333,1.0655,1.0125,0.9952,0.9953,0.8247,1.0701,0.7528,1.001,0.8579,1.1224,1.0141,0.8021,0.646,1.034,NQC,1.7844,1.5192,1.3246,0.9831,1.3124,0.5708,1.1092,NQC,0.8153,NQC,NQC,0.893,0.714,NQC,1.4394,1.5532,0.7132,1.0434,-0.0258,0.5425,0.6033,-0.0706,NQC,0.35,0.651,0.9323
GALLE,2.522,2.325,2.2716,NQC,NQC,2.14,2.0238,NQC,2.1302,2.0427,NQC,2.0186,1.959,1.9446,1.7428,1.1144,1.0143,0.9876,1.0818,1.0453,1.5573,1.8222,1.872,NQC,1.7747,1.6453,1.5381,1.4811,NQC,1.4579,NQC,NQC,2.0675,1.9815,NQC,1.914,2.196,NQC,1.7688,1.7071,NQC,1.5654,1.7554,NQC,1.5618,1.4804,1.3607,1.2893,1.0991,1.1823,NQC,NQC,1.5119,1.7407,1.6062,1.8359,1.6429,NQC,1.4345,NQC,NQC,NQC,1.3963,1.5466,1.552,1.6139,1.5102,NQC,1.3183,1.322,1.2403,1.9672,1.9289,NQC,1.7586,1.6002,1.5639,1.5041,NQC,1.4261,NQC,1.3022,1.404,1.706,1.6387,1.2976,1.7772,0.9976,0.6114,1.2638,0.3283,0.4459,1.6843,1.0344,1.9046,1.6292,1.7454,1.6421,1.6175,1.317,1.59,1.6042,1.913,1.2245,1.741,1.5819,1.4241,1.4197,1.3348,NQC,1.0144,1.0767,1.2992,1.2496,1.1928,NQC,1.1533,NQC,1.7784,NQC,NQC,1.6928,1.8704,NQC,NQC,1.8109,1.4868,1.9142,1.9406,1.1369,1.1508,1.2426,1.3984,1.355,1.3313,1.1124,0.2174,0.97,0.9553,1.5726,NQC,1.4143,1.1305,1.1245,1.2745,1.1761,0.7346,1.2839,0.984,1.0164,1.058,1.1389,1.1098,0.9972,0.9821,1.287,2.2385,1.6768,1.5142,1.3935,0.9767,1.1442,0.8458,1.243,0.8894,NQC,1.2973,1.1887,NQC,NQC,0.8648,1.486,0.4376,0.8689,1.1638,NQC,1.0351,NQC,NQC,NQC,NQC,NQC,NQC
MATARA,2.4758,2.3492,2.2627,2.2097,NQC,2.145,2.1371,NQC,NQC,NQC,NQC,2.0314,1.9219,1.9782,1.7588,NQC,NQC,0.966,1.0864,NQC,1.5796,1.843,1.7478,NQC,1.7779,1.6774,1.5559,1.4899,1.4093,1.3814,1.2688,NQC,2.0659,NQC,NQC,1.9269,2.22,NQC,1.7731,1.7111,NQC,1.6508,1.7642,NQC,1.575,1.4676,1.3746,1.2908,NQC,1.2237,NQC,NQC,1.5557,1.7412,NQC,1.8372,1.6447,NQC,1.48,NQC,NQC,NQC,NQC,NQC,1.6301,1.6363,1.5218,1.4591,1.4068,1.4222,1.1887,1.9649,1.9321,NQC,1.7579,1.6053,1.5777,1.5065,1.2186,1.4333,NQC,1.4663,1.4009,1.706,1.4435,1.2976,1.7772,0.9976,0.6114,0.6526,0.8881,0.494,1.703,1.0135,1.8687,1.6257,1.7726,1.6521,1.4848,1.127,1.4841,1.6283,2.03,1.1492,1.7283,NQC,1.5138,1.3606,1.1463,NQC,1.0029,1.0815,1.264,NQC,NQC,NQC,1.1341,NQC,NQC,NQC,NQC,1.6479,NQC,NQC,NQC,1.7912,1.7286,NQC,1.8291,1.3222,1.1168,1.2369,1.3526,1.2784,1.3054,1.1125,0.4498,1.0968,0.5371,1.3516,NQC,1.4518,1.21,1.2196,1.2428,1.1957,1.3403,1.3054,1.0131,1.0631,1.0493,1.1986,1.0959,1.0187,0.9832,1.2668,1.7647,1.6593,1.489,1.3028,NQC,1.2728,NQC,1.291,1.0936,NQC,NQC,0.798,0.8314,NQC,0.8193,1.3544,1.2614,1.0616,1.2709,0.8921,NQC,NQC,NQC,-0.357,NQC,NQC,NQC
HAMBANTOTA,2.4648,NQC,NQC,2.2443,NQC,2.176,NQC,NQC,2.0457,1.8262,NQC,1.8047,1.7601,1.756,1.6244,NQC,1.0648,0.996,1.1005,NQC,1.4368,NQC,NQC,1.5511,NQC,NQC,1.5627,1.6997,1.0864,1.4427,1.1668,NQC,2.1511,2.0005,NQC,1.8575,2.2393,1.7042,1.7426,1.7014,NQC,1.6578,1.7689,NQC,1.7313,1.4659,1.3705,1.3037,1.0318,1.2279,1.0115,NQC,1.5558,1.7591,1.6139,1.8531,1.6681,NQC,1.4408,NQC,NQC,1.3589,1.3946,NQC,1.5974,NQC,1.5743,NQC,1.3012,1.3412,1.1574,1.9772,1.9424,1.8919,1.76,1.5981,1.5655,1.5041,NQC,1.4251,NQC,NQC,1.4003,1.706,1.5519,1.2976,1.7772,0.9976,0.6114,1.3022,NQC,0.5393,1.5606,1.0267,1.731,1.5782,1.724,1.6779,1.4339,1.2165,1.5525,1.5872,1.8369,1.121,1.7324,1.676,1.5015,1.2985,0.9972,NQC,0.9093,1.1024,1.291,NQC,1.2352,NQC,1.0667,1.1664,NQC,NQC,1.4312,NQC,NQC,NQC,NQC,1.7143,1.5614,NQC,1.7308,1.3316,1.0193,1.1651,1.3165,1.2326,1.2976,1.2396,NQC,1.1263,0.1694,1.4178,1.5331,1.4495,1.1486,0.9869,1.1954,1.0702,0.9787,1.2692,0.9652,0.9706,1.0885,1.2059,1.0799,0.951,0.9639,1.324,1.7743,1.6631,1.5717,1.3272,0.9801,1.2449,0.8829,1.2364,1.1975,NQC,1.2348,NQC,NQC,NQC,1.0061,1.3811,1.3184,0.5605,0.9749,0.3486,0.8798,NQC,NQC,0.5252,NQC,NQC,NQC
JAFFNA,2.5293,2.366,2.2998,NQC,1.9573,NQC,2.0147,NQC,NQC,NQC,NQC,1.9479,1.9343,1.9358,1.6369,0.9846,0.9781,NQC,NQC,1.1475,1.5806,1.8287,1.7843,1.679,1.8644,1.6427,1.5489,NQC,1.2848,NQC,NQC,NQC,2.0611,1.9941,2.0519,1.9845,2.2101,NQC,1.7832,1.7027,1.6764,NQC,1.7538,NQC,1.5798,1.4666,1.3762,1.3207,1.0796,1.2604,NQC,1.1386,1.5643,1.7431,1.6037,1.839,NQC,1.1695,NQC,1.33,NQC,1.5819,NQC,1.4923,1.6146,1.6404,NQC,1.1222,NQC,NQC,1.4431,1.9744,NQC,1.8854,1.7804,1.6175,NQC,NQC,1.165,NQC,1.108,NQC,NQC,1.706,1.5925,1.2976,1.7772,0.9976,0.6114,1.3523,NQC,0.9175,1.6931,0.7364,1.9551,1.6262,1.6584,1.7346,1.5954,1.1407,1.5931,1.6285,1.8373,1.3675,1.7278,NQC,NQC,NQC,1.304,1.1139,1.1478,0.9264,1.4378,1.2841,NQC,1.0005,1.013,NQC,1.763,1.7208,1.7011,NQC,NQC,1.8219,1.9207,NQC,1.7337,1.9032,NQC,0.9735,0.8987,1.1466,1.4523,1.1008,1.1001,1.1889,0.6718,1.5076,0.7071,0.7926,1.246,NQC,0.9444,0.8205,1.0848,1.1948,1.3121,0.903,0.9727,0.9349,1.0682,0.9965,1.1183,0.8998,0.9078,1.0303,1.6954,2.0423,1.4838,NQC,1.1019,1.1391,0.8059,1.1634,1.1776,1.4905,NQC,NQC,1.0292,NQC,NQC,1.466,NQC,NQC,NQC,NQC,0.6002,0.5852,0.3037,-0.1682,0.476,0.4741,0.9244
