District,stream,degree,year,students_sat,students_passed,z-score_cutoff
colombo,biological science,MEDICINE University of Colombo,2019,2688,1838,2.4546
gampaha,biological science,MEDICINE University of Colombo,2019,1648,970,2.501
kalutara,biological science,MEDICINE University of Colombo,2019,1018,609,2.5199
matale,biological science,MEDICINE University of Colombo,2019,443,179,2.5115
kandy,biological science,MEDICINE University of Colombo,2019,1615,860,2.5805
nuwara eliya,biological science,MEDICINE University of Colombo,2019,518,239,2.8375
galle,biological science,MEDICINE University of Colombo,2019,1271,694,2.522
hambantota,biological science,MEDICINE University of Colombo,2019,722,317,2.4648
jaffna,biological science,MEDICINE University of Colombo,2019,779,482,2.5293
vavuniya,biological science,MEDICINE University of Colombo,2019,170,85,2.5182
batticaloa,biological science,MEDICINE University of Colombo,2019,502,293,2.5213
ampara,biological science,MEDICINE University of Colombo,2019,730,355,2.482
puttalam,biological science,MEDICINE University of Colombo,2019,493,284,2.495
kurunegala,biological science,MEDICINE University of Colombo,2019,1567,802,2.5206
polonnaruwa,biological science,MEDICINE University of Colombo,2019,338,117,2.469
badulla,biological science,MEDICINE University of Colombo,2019,784,399,2.477
monaragala,biological science,MEDICINE University of Colombo,2019,372,136,2.5168
ratnapura,biological science,MEDICINE University of Colombo,2019,943,476,2.4741
colombo,biological science,MEDICINE University of Peradeniya,2019,2688,1838,2.3255
gampaha,biological science,MEDICINE University of Peradeniya,2019,1648,970,2.3317
kalutara,biological science,MEDICINE University of Peradeniya,2019,1018,609,2.3277
matale,biological science,MEDICINE University of Peradeniya,2019,443,179,2.3456
kandy,biological science,MEDICINE University of Peradeniya,2019,1615,860,2.3727
nuwara eliya,biological science,MEDICINE University of Peradeniya,2019,518,239,2.3809
galle,biological science,MEDICINE University of Peradeniya,2019,1271,694,2.325
jaffna,biological science,MEDICINE University of Peradeniya,2019,779,482,2.366
batticaloa,biological science,MEDICINE University of Peradeniya,2019,502,293,2.3768
ampara,biological science,MEDICINE University of Peradeniya,2019,730,355,2.3294
puttalam,biological science,MEDICINE University of Peradeniya,2019,493,284,2.4914
kurunegala,biological science,MEDICINE University of Peradeniya,2019,1567,802,2.3312
anuradhapura,biological science,MEDICINE University of Peradeniya,2019,703,266,2.4235
polonnaruwa,biological science,MEDICINE University of Peradeniya,2019,338,117,2.4509
kegalle,biological science,MEDICINE University of Peradeniya,2019,972,467,2.3502
ratnapura,biological science,MEDICINE University of Peradeniya,2019,943,476,2.3453
colombo,biological science,MEDICINE University of Sri Jayewardenepura,2019,2688,1838,2.2572
gampaha,biological science,MEDICINE University of Sri Jayewardenepura,2019,1648,970,2.43
kalutara,biological science,MEDICINE University of Sri Jayewardenepura,2019,1018,609,2.2924
kandy,biological science,MEDICINE University of Sri Jayewardenepura,2019,1615,860,2.266
galle,biological science,MEDICINE University of Sri Jayewardenepura,2019,1271,694,2.2716
jaffna,biological science,MEDICINE University of Sri Jayewardenepura,2019,779,482,2.2998
vavuniya,biological science,MEDICINE University of Sri Jayewardenepura,2019,170,85,2.2646
batticaloa,biological science,MEDICINE University of Sri Jayewardenepura,2019,502,293,2.4249
ampara,biological science,MEDICINE University of Sri Jayewardenepura,2019,730,355,2.2747
puttalam,biological science,MEDICINE University of Sri Jayewardenepura,2019,493,284,2.2819
kurunegala,biological science,MEDICINE University of Sri Jayewardenepura,2019,1567,802,2.2594
polonnaruwa,biological science,MEDICINE University of Sri Jayewardenepura,2019,338,117,2.2598
badulla,biological science,MEDICINE University of Sri Jayewardenepura,2019,784,399,2.292
ratnapura,biological science,MEDICINE University of Sri Jayewardenepura,2019,943,476,2.2627
colombo,biological science,MEDICINE University of Kelaniya,2019,2688,1838,2.2016
gampaha,biological science,MEDICINE University of Kelaniya,2019,1648,970,2.2054
kalutara,biological science,MEDICINE University of Kelaniya,2019,1018,609,2.2006
kandy,biological science,MEDICINE University of Kelaniya,2019,1615,860,2.199
hambantota,biological science,MEDICINE University of Kelaniya,2019,722,317,2.2443
trincomalee,biological science,MEDICINE University of Kelaniya,2019,331,182,2.2042
ampara,biological science,MEDICINE University of Kelaniya,2019,730,355,2.2018
puttalam,biological science,MEDICINE University of Kelaniya,2019,493,284,2.2997
kurunegala,biological science,MEDICINE University of Kelaniya,2019,1567,802,2.2066
anuradhapura,biological science,MEDICINE University of Kelaniya,2019,703,266,2.2061
kegalle,biological science,MEDICINE University of Kelaniya,2019,972,467,2.1967
ratnapura,biological science,MEDICINE University of Kelaniya,2019,943,476,2.2027
colombo,biological science,MEDICINE University of Jaffna,2019,2688,1838,2.0858
gampaha,biological science,MEDICINE University of Jaffna,2019,1648,970,1.9626
kandy,biological science,MEDICINE University of Jaffna,2019,1615,860,1.9955
nuwara eliya,biological science,MEDICINE University of Jaffna,2019,518,239,1.9626
jaffna,biological science,MEDICINE University of Jaffna,2019,779,482,1.9573
kilinochchi,biological science,MEDICINE University of Jaffna,2019,114,72,2.0841
mullaitivu,biological science,MEDICINE University of Jaffna,2019,81,42,2.1642
vavuniya,biological science,MEDICINE University of Jaffna,2019,170,85,2.0422
trincomalee,biological science,MEDICINE University of Jaffna,2019,331,182,1.9576
batticaloa,biological science,MEDICINE University of Jaffna,2019,502,293,1.9561
ampara,biological science,MEDICINE University of Jaffna,2019,730,355,1.9583
puttalam,biological science,MEDICINE University of Jaffna,2019,493,284,1.9714
anuradhapura,biological science,MEDICINE University of Jaffna,2019,703,266,1.9929
polonnaruwa,biological science,MEDICINE University of Jaffna,2019,338,117,2.0086
badulla,biological science,MEDICINE University of Jaffna,2019,784,399,1.959
ratnapura,biological science,MEDICINE University of Jaffna,2019,943,476,2.0379
colombo,biological science,MEDICINE University of Ruhuna,2019,2688,1838,2.1392
gampaha,biological science,MEDICINE University of Ruhuna,2019,1648,970,2.1446
kalutara,biological science,MEDICINE University of Ruhuna,2019,1018,609,2.1625
kandy,biological science,MEDICINE University of Ruhuna,2019,1615,860,2.1403
galle,biological science,MEDICINE University of Ruhuna,2019,1271,694,2.14
hambantota,biological science,MEDICINE University of Ruhuna,2019,722,317,2.176
mannar,biological science,MEDICINE University of Ruhuna,2019,102,56,2.1435
trincomalee,biological science,MEDICINE University of Ruhuna,2019,331,182,2.186
puttalam,biological science,MEDICINE University of Ruhuna,2019,493,284,2.1608
kurunegala,biological science,MEDICINE University of Ruhuna,2019,1567,802,2.1687
anuradhapura,biological science,MEDICINE University of Ruhuna,2019,703,266,2.1591
badulla,biological science,MEDICINE University of Ruhuna,2019,784,399,2.1766
kegalle,biological science,MEDICINE University of Ruhuna,2019,972,467,2.1956
ratnapura,biological science,MEDICINE University of Ruhuna,2019,943,476,2.1398
colombo,biological science,MEDICINE University of Moratuwa,2019,2688,1838,2.0676
gampaha,biological science,MEDICINE University of Moratuwa,2019,1648,970,1.9289
matale,biological science,MEDICINE University of Moratuwa,2019,443,179,2.1129
kandy,biological science,MEDICINE University of Moratuwa,2019,1615,860,2.0031
nuwara eliya,biological science,MEDICINE University of Moratuwa,2019,518,239,1.9691
galle,biological science,MEDICINE University of Moratuwa,2019,1271,694,2.0238
jaffna,biological science,MEDICINE University of Moratuwa,2019,779,482,2.0147
vavuniya,biological science,MEDICINE University of Moratuwa,2019,170,85,1.8969
trincomalee,biological science,MEDICINE University of Moratuwa,2019,331,182,1.9202
batticaloa,biological science,MEDICINE University of Moratuwa,2019,502,293,1.9118
ampara,biological science,MEDICINE University of Moratuwa,2019,730,355,1.8797
anuradhapura,biological science,MEDICINE University of Moratuwa,2019,703,266,1.9954
monaragala,biological science,MEDICINE University of Moratuwa,2019,372,136,1.9195
ratnapura,biological science,MEDICINE University of Moratuwa,2019,943,476,1.9329
nuwara eliya,biological science,"MEDICINE Eastern University, Sri Lanka",2019,518,239,1.4744
kilinochchi,biological science,"MEDICINE Eastern University, Sri Lanka",2019,114,72,1.6855
mannar,biological science,"MEDICINE Eastern University, Sri Lanka",2019,102,56,1.9176
mullaitivu,biological science,"MEDICINE Eastern University, Sri Lanka",2019,81,42,1.2427
batticaloa,biological science,"MEDICINE Eastern University, Sri Lanka",2019,502,293,1.8353
ampara,biological science,"MEDICINE Eastern University, Sri Lanka",2019,730,355,1.7481
anuradhapura,biological science,"MEDICINE Eastern University, Sri Lanka",2019,703,266,1.6484
colombo,biological science,MEDICINE Rajarata University of Sri Lanka,2019,2688,1838,2.0957
gampaha,biological science,MEDICINE Rajarata University of Sri Lanka,2019,1648,970,2.0626
kalutara,biological science,MEDICINE Rajarata University of Sri Lanka,2019,1018,609,2.0672
matale,biological science,MEDICINE Rajarata University of Sri Lanka,2019,443,179,2.1166
kandy,biological science,MEDICINE Rajarata University of Sri Lanka,2019,1615,860,2.058
nuwara eliya,biological science,MEDICINE Rajarata University of Sri Lanka,2019,518,239,2.0357
galle,biological science,MEDICINE Rajarata University of Sri Lanka,2019,1271,694,2.1302
hambantota,biological science,MEDICINE Rajarata University of Sri Lanka,2019,722,317,2.0457
ampara,biological science,MEDICINE Rajarata University of Sri Lanka,2019,730,355,2.067
puttalam,biological science,MEDICINE Rajarata University of Sri Lanka,2019,493,284,2.0744
kurunegala,biological science,MEDICINE Rajarata University of Sri Lanka,2019,1567,802,2.0431
badulla,biological science,MEDICINE Rajarata University of Sri Lanka,2019,784,399,2.0379
kegalle,biological science,MEDICINE Rajarata University of Sri Lanka,2019,972,467,2.0407
ratnapura,biological science,MEDICINE Rajarata University of Sri Lanka,2019,943,476,2.0393
gampaha,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,1648,970,1.9173
matale,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,443,179,1.8842
kandy,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,1615,860,2.013
galle,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,1271,694,2.0427
hambantota,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,722,317,1.8262
ampara,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,730,355,1.7345
anuradhapura,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,703,266,1.687
polonnaruwa,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,338,117,1.7857
badulla,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,784,399,1.8267
monaragala,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,372,136,1.9727
ratnapura,biological science,MEDICINE Sabaragamuwa University of Sri Lanka,2019,943,476,1.9595
gampaha,biological science,MEDICINE Wayamba University of Sri Lanka,2019,1648,970,1.9238
matale,biological science,MEDICINE Wayamba University of Sri Lanka,2019,443,179,1.9473
kandy,biological science,MEDICINE Wayamba University of Sri Lanka,2019,1615,860,1.9852
nuwara eliya,biological science,MEDICINE Wayamba University of Sri Lanka,2019,518,239,1.8684
vavuniya,biological science,MEDICINE Wayamba University of Sri Lanka,2019,170,85,1.7894
puttalam,biological science,MEDICINE Wayamba University of Sri Lanka,2019,493,284,1.9267
kurunegala,biological science,MEDICINE Wayamba University of Sri Lanka,2019,1567,802,2.0436
anuradhapura,biological science,MEDICINE Wayamba University of Sri Lanka,2019,703,266,1.7481
polonnaruwa,biological science,MEDICINE Wayamba University of Sri Lanka,2019,338,117,1.843
badulla,biological science,MEDICINE Wayamba University of Sri Lanka,2019,784,399,1.9109
monaragala,biological science,MEDICINE Wayamba University of Sri Lanka,2019,372,136,1.6753
kegalle,biological science,MEDICINE Wayamba University of Sri Lanka,2019,972,467,2.1362
colombo,biological science,DENTAL SURGERY University of Peradeniya,2019,2688,1838,2.0326
gampaha,biological science,DENTAL SURGERY University of Peradeniya,2019,1648,970,1.913
kalutara,biological science,DENTAL SURGERY University of Peradeniya,2019,1018,609,2.0355
matale,biological science,DENTAL SURGERY University of Peradeniya,2019,443,179,1.8557
kandy,biological science,DENTAL SURGERY University of Peradeniya,2019,1615,860,1.9612
nuwara eliya,biological science,DENTAL SURGERY University of Peradeniya,2019,518,239,1.4729
galle,biological science,DENTAL SURGERY University of Peradeniya,2019,1271,694,2.0186
hambantota,biological science,DENTAL SURGERY University of Peradeniya,2019,722,317,1.8047
jaffna,biological science,DENTAL SURGERY University of Peradeniya,2019,779,482,1.9479
kilinochchi,biological science,DENTAL SURGERY University of Peradeniya,2019,114,72,1.5918
mannar,biological science,DENTAL SURGERY University of Peradeniya,2019,102,56,1.8964
mullaitivu,biological science,DENTAL SURGERY University of Peradeniya,2019,81,42,1.1326
vavuniya,biological science,DENTAL SURGERY University of Peradeniya,2019,170,85,1.7721
trincomalee,biological science,DENTAL SURGERY University of Peradeniya,2019,331,182,1.7716
batticaloa,biological science,DENTAL SURGERY University of Peradeniya,2019,502,293,1.7515
ampara,biological science,DENTAL SURGERY University of Peradeniya,2019,730,355,1.7298
puttalam,biological science,DENTAL SURGERY University of Peradeniya,2019,493,284,1.7951
kurunegala,biological science,DENTAL SURGERY University of Peradeniya,2019,1567,802,1.9979
anuradhapura,biological science,DENTAL SURGERY University of Peradeniya,2019,703,266,1.6278
polonnaruwa,biological science,DENTAL SURGERY University of Peradeniya,2019,338,117,1.7827
badulla,biological science,DENTAL SURGERY University of Peradeniya,2019,784,399,1.773
monaragala,biological science,DENTAL SURGERY University of Peradeniya,2019,372,136,1.6367
kegalle,biological science,DENTAL SURGERY University of Peradeniya,2019,972,467,2.0342
ratnapura,biological science,DENTAL SURGERY University of Peradeniya,2019,943,476,1.9308
colombo,biological science,VETERINARY SCIENCE University of Peradeniya,2019,2688,1838,1.8619
gampaha,biological science,VETERINARY SCIENCE University of Peradeniya,2019,1648,970,1.89
