Year,District,Programme,Stream,Number,Passed,Z-Score
2022,COLOMBO,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4516
2022,GAMPAHA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4412
2022,KALUTARA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4446
2022,MATALE,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4981
2022,KANDY,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.5501
2022,NUWARA ELIYA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,
2022,GALLE,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4478
2022,MATARA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4552
2022,HAMBANTOTA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4711
2022,JAFFNA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4504
2022,KILINOCHCHI,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,
2022,MANNAR,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,
2022,MULLAITIVU,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,
2022,VAVUNIYA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.5134
2022,TRINCOMALEE,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4637
2022,BATTICALOA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4902
2022,AMPARA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4374
2022,PUTTALAM,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4946
2022,KURUNEGALA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.445
2022,ANURADHAPURA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.5446
2022,POLONNARUWA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4695
2022,BADULLA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.5455
2022,MONARAGALA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,
2022,KEGALLE,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4552
2022,RATNAPURA,MEDICINE (University of Colombo),Bio Science,40329.0,25851.0,2.4542
2022,COLOMBO,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2279
2022,GAMPAHA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2147
2022,KALUTARA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2204
2022,MATALE,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.215
2022,KANDY,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2216
2022,NUWARA ELIYA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2598
2022,GALLE,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2429
2022,MATARA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2225
2022,HAMBANTOTA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2646
2022,JAFFNA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.212
2022,KILINOCHCHI,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.3267
2022,MANNAR,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,
2022,MULLAITIVU,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2786
2022,VAVUNIYA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2496
2022,TRINCOMALEE,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.248
2022,BATTICALOA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2518
2022,AMPARA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2384
2022,PUTTALAM,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2805
2022,KURUNEGALA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2114
2022,ANURADHAPURA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2347
2022,POLONNARUWA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2591
2022,BADULLA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2159
2022,MONARAGALA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.241
2022,KEGALLE,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.215
2022,RATNAPURA,MEDICINE (University of Peradeniya),Bio Science,40329.0,25851.0,2.2112
2022,COLOMBO,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1465
2022,GAMPAHA,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1566
2022,KALUTARA,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1474
2022,MATALE,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1943
2022,KANDY,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1512
2022,NUWARA ELIYA,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,
2022,GALLE,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1503
