District,No. Sat,Eligible for University Entrance,No.,%
Puttalam,2997,2246,74.94
Monaragala,2548,1899,74.53
Mannar,611,452,73.98
Badulla,4572,3375,73.82
Kurunegala,9241,6812,73.71
Mullaitivu,683,499,73.06
Kegalle,4176,3015,72.20
Trincomalee,1952,1408,72.13
Jaffna,2886,2072,71.79
Nuwara Eliya,3188,2282,71.58
Anuradhapura,4755,3372,70.91
Kilinochchi,764,540,70.68
Ratnapura,5399,3792,70.27
Matara,3999,2792,69.82
Polonnaruwa,1947,1359,69.80
Gampaha,7391,5142,69.57
Galle,4906,3394,69.18
Ampara,3148,2156,68.49
Matale,2850,1976,68.42
Kalutara,4964,3332,67.12
Vavuniya,860,576,66.98
Batticaloa,2583,1729,66.94
Kandy,7221,4796,66.42
Hambantota,3676,2371,64.51
Colombo,6766,4371,64.61
All Island,93612,65548,70.02
