District,No. Sat,Eligible for University Entrance,%
Mannar,762,542,71.13
Badulla,5062,3578,70.68
Vavuniya,940,659,70.11
Mullaitivu,727,507,69.74
Trincomalee,2705,1877,69.39
Matale,2069,1804,69.15
Nuwara Eliya,3468,2392,68.97
Jaffna,3000,2033,67.77
Kegalle,4952,3349,67.63
Matara,3084,2066,66.99
Kilinochchi,727,482,66.30
Puttalam,3606,2384,66.11
Polonnaruwa,2132,1387,65.06
Ampara,4393,2850,64.88
Anuradhapura,5234,3383,64.64
Kurunegala,9981,6435,64.47
Batticaloa,3384,2180,64.42
Matara,4526,2915,64.41
Ratnapura,5599,3824,64.17
Hambantota,3707,2323,62.67
Kandy,8333,5211,62.38
Kalutara,5595,3488,62.34
Gampaha,6870,5341,61.60
Galle,592,3366,60.19
Colombo,7834,4603,58.76
All Island,107002,68959,64.45
