District,No. Sat,Eligible for University Entrance,No.,%
Jaffna,1548,978,63.18
Colombo,4439,2761,62.20
Galle,2519,1542,61.21
Kalutara,2318,1411,60.87
Matara,1911,1162,60.81
Trincomalee,760,459,60.39
Puttalam,1166,703,60.29
Batticaloa,1129,673,59.61
Gampaha,3241,1861,57.42
Mannar,220,126,57.27
Ampara,1780,1015,57.02
Kandy,3383,1918,56.70
Hambantota,1707,955,55.95
Ratnapura,2226,1227,55.12
Matale,949,523,55.11
Mullaitivu,195,106,54.36
Kegalle,2011,1093,54.35
Kurunegala,3659,1844,50.38
Badulla,1680,892,53.10
Vavuniya,347,183,52.74
Nuwara Eliya,1220,637,52.21
Anuradhapura,1704,833,48.88
Monaragala,987,478,48.43
Polonnaruwa,793,358,45.15
Kilinochchi,266,118,44.36
All Island,42158,23996,56.92
