District,No. Sat,Eligible for University Entrance,%
Jaffna,1263,825,65.32
Trincomalee,603,393,65.17
Batticaloa,924,587,63.53
Puttalam,915,573,62.62
Colombo,3744,2329,62.21
Mannar,163,101,61.96
Galle,1964,1174,59.78
Kalutara,1674,998,59.62
Mullaitivu,166,98,59.04
Gampaha,2409,1407,58.41
Matara,1442,822,57.00
Kilinochchi,239,136,56.90
Ampara,1254,711,56.70
Hambantota,1291,722,55.93
Kurunegala,2675,1470,54.95
Kandy,2496,1366,54.73
Vavuniya,287,157,54.70
Badulla,1328,726,54.67
Ratnapura,1851,992,53.59
Matale,663,348,52.49
Kegalle,1485,750,50.51
Nuwara Eliya,845,405,47.93
Monaragala,805,384,47.70
Anuradhapura,1321,599,45.34
Polonnaruwa,590,262,44.41
All Island,32397,18335,56.59
