District,No. Sat,Eligible for University Entrance,No.,%
Colombo,405,302,74.57
Kegalle,365,268,73.42
Matara,258,189,73.26
Kurunegala,573,416,72.60
Gampaha,415,298,71.81
Trincomalee,132,93,70.45
Hambantota,206,145,70.39
Badulla,375,259,69.07
Monaragala,179,123,68.72
Matale,258,176,68.22
Anuradhapura,223,150,67.26
Puttalam,183,123,67.21
Galle,202,134,66.34
Jaffna,160,106,66.25
Ampara,352,232,65.91
Ratnapura,438,285,65.07
Batticaloa,223,144,64.57
Kalutara,258,166,64.34
Kandy,572,361,63.11
Mannar,40,24,60.00
Nuwara Eliya,301,178,59.14
Mullaitivu,24,13,54.17
Polonnaruwa,141,72,51.06
Kilinochchi,52,26,50.00
Vavuniya,50,24,48.00
All Island,6385,4307,67.45
