District,No. Sat,Eligible for University Entrance,%
Kegalle,597,478,80.07
Ampara,505,400,79.21
Nuwara Eliya,401,314,78.30
Badulla,617,476,77.15
Kalutara,419,318,75.89
Batticaloa,313,238,76.04
Kurunegala,1777,584,75.16
Matara,494,368,74.49
Matale,318,235,73.90
Anuradhapura,450,331,73.56
Kandy,848,622,73.35
Mullaitivu,33,24,72.73
Gampaha,526,379,72.05
Trincomalee,161,115,71.43
Hambantota,408,291,71.32
Galle,358,255,71.23
Colombo,437,311,71.17
Monaragala,295,205,69.49
Batticaloa,310,214,69.03
Ratnapura,675,457,67.70
Vavuniya,44,28,63.64
Polonnaruwa,153,94,61.44
Puttalam,54,30,55.56
Kilinochchi,57,30,52.63
All Island,9367,6857,73.20
