District,No. Sat,Eligible for University Entrance,No.,%
Puttalam,1394,1102,79.05
Kurunegala,3119,2538,76.47
Polonnaruwa,1066,791,74.20
Colombo,9522,7029,73.82
Kalutara,3407,2510,73.67
Galle,3168,2317,73.14
Matara,2049,1498,73.11
Gampaha,6173,4504,72.96
Kegalle,2011,1411,70.16
Ratnapura,2821,1989,70.51
Jaffna,1049,737,70.26
Monaragala,1277,823,69.92
Anuradhapura,2088,1453,69.59
Mannar,266,185,69.55
Badulla,2113,1467,69.43
Nuwara Eliya,1474,1015,68.86
Matale,1236,850,68.77
Kandy,4045,2737,67.66
Mullaitivu,225,151,67.11
Kilinochchi,237,159,67.09
Batticaloa,862,565,65.55
Hambantota,1246,814,65.33
Ampara,1217,779,63.94
Trincomalee,720,455,63.19
Vavuniya,356,221,62.08
All Island,53248,38130,71.61
