District,No. Sat,Eligible for University Entrance,%
Batticaloa,823,643,78.13
Vavuniya,313,240,76.68
Mullaitivu,205,153,74.63
Puttalam,1446,1079,74.62
Mannar,235,174,74.04
Colombo,9574,6935,72.44
Kegalle,2138,1543,72.17
Badulla,2185,1572,71.95
Jaffna,860,616,71.63
Kurunegala,3790,2705,71.37
Matara,2153,1536,71.34
Monaragala,1272,905,71.15
Kandy,4184,2902,69.36
Nuwara Eliya,1588,1094,68.89
Trincomalee,685,470,68.61
Gampaha,6466,4408,68.17
Kalutara,3619,2453,67.78
Matale,1197,808,67.50
Galle,2994,2003,66.90
Ratnapura,2974,1975,66.41
Ampara,1192,787,66.02
Anuradhapura,2181,1364,62.54
Polonnaruwa,1023,623,60.90
Kilinochchi,258,151,58.53
All Island,54692,37936,69.36
