District,No. Sat,Eligible for University Entrance,No.,%
Colombo,1720,1260,73.26
Ratnapura,1060,728,68.68
Matar,1077,733,68.06
Matale,443,301,67.95
Galle,1002,648,64.67
Nuwara Eliya,508,322,63.39
Puttalam,533,335,62.85
Badulla,821,514,62.61
Gampaha,1772,1107,62.47
Kurunegala,1702,1058,62.16
Kalutara,946,578,61.10
Monaragala,502,302,60.16
Hambantota,769,458,59.56
Kegalle,924,536,58.01
Batticaloa,333,222,66.67
Kandy,1277,734,57.48
Anuradhapura,922,519,56.29
Trincomalee,215,118,54.88
Polonnaruwa,385,211,54.81
Ampara,708,366,51.69
Jaffna,486,218,44.86
Vavuniya,57,25,43.86
Kilinochchi,70,28,40.00
Mannar,83,31,37.35
Mullaitivu,30,10,33.33
All Island,18395,11362,61.77
