District,No. Sat,Eligible for University Entrance,%
Colombo,1532,1099,71.74
Kilinochchi,35,25,71.43
Galle,841,592,70.39
Kurunegala,1325,916,69.13
Gampaha,1540,1055,68.51
Matara,854,581,68.03
Trincomalee,170,115,67.65
Kalutara,778,526,67.61
Ratnapura,835,562,67.31
Nuwara Eliya,434,291,67.05
Batticaloa,315,211,66.98
Matale,408,268,65.69
Badulla,799,522,65.33
Puttalam,386,251,65.03
Kegalle,776,504,64.95
Hambantota,597,383,64.15
Anuradhapura,719,457,63.56
Ampara,439,277,63.10
Jaffna,315,196,62.22
Polonnaruwa,252,153,60.71
Monaragala,433,257,59.35
Kandy,1071,623,58.17
Mannar,41,20,48.78
Vavuniya,57,23,40.35
Mullaitivu,33,11,33.33
All Island,14985,9918,66.19
