District,No. Sat,Eligible for University Entrance,No.,%
Mannar,60,38,63.33
Batticaloa,363,221,60.88
Colombo,3259,1951,59.86
Jaffna,820,488,59.51
Trincomalee,211,120,56.87
Puttalam,459,254,55.34
Galle,1364,735,53.89
Kalutara,1110,582,52.43
Kurunegala,1480,769,51.96
Gampaha,2065,1067,51.67
Matar,1102,567,51.45
Ratnapura,740,371,50.14
Kandy,1189,587,49.37
Badulla,791,390,49.30
Kilinochchi,111,54,48.65
Kegalle,779,367,47.11
Hambantota,808,372,46.04
Ampara,561,254,45.28
Mullaitivu,96,42,43.75
Matale,265,113,42.64
Anuradhapura,610,251,41.15
Monaragala,243,98,40.33
Nuwara Eliya,387,155,40.05
Polonnaruwa,218,82,37.61
Vavuniya,127,47,37.01
All Island,19218,9975,51.90
