District,No. Sat,Eligible for University Entrance,%
Jaffna,1219,762,62.51
Galle,2321,1430,61.61
Matara,1921,1175,61.17
Colombo,4500,2715,60.33
Batticaloa,580,344,59.31
Puttalam,715,417,58.32
Trincomalee,385,224,58.18
Kalutara,1895,1086,57.31
Badulla,1400,793,56.64
Kandy,2088,1180,56.51
Kurunegala,2592,1458,56.25
Mannar,98,55,56.12
Kegalle,1243,697,56.07
Mullaitivu,109,61,55.96
Matale,445,247,55.51
Vavuniya,211,117,55.45
Monaragala,603,332,55.06
Gampaha,3289,1798,54.67
Ratnapura,1515,827,54.59
Hambantota,1346,726,53.94
Ampara,862,459,53.25
Polonnaruwa,430,210,48.84
Anuradhapura,1136,536,47.18
Nuwara Eliya,617,290,47.00
Kilinochchi,210,89,42.38
All Island,31730,18028,56.82
