District,year,degree,z-score_cutoff
COLOMBO,2019,MEDICINE University of Colombo,2.4546
GAMPAHA,2019,MEDICINE University of Colombo,2.501
KALUTARA,2019,MEDICINE University of Colombo,2.5199
MATALE,2019,MEDICINE University of Colombo,2.5115
KANDY,2019,MEDICINE University of Colombo,2.5805
NUWARA ELIYA,2019,MEDICINE University of Colombo,2.8375
GALLE,2019,MEDICINE University of Colombo,2.522
MATARA,2019,MEDICINE University of Colombo,2.4758
HAMBANTOTA,2019,MEDICINE University of Colombo,2.4648
JAFFNA,2019,MEDICINE University of Colombo,2.5293
KILINOCHCHI,2019,MEDICINE University of Colombo,NQC
MANNAR,2019,MEDICINE University of Colombo,NQC
MULLAITIVU,2019,MEDICINE University of Colombo,NQC
VAVUNIYA,2019,MEDICINE University of Colombo,2.5182
TRINCOMALEE,2019,MEDICINE University of Colombo,NQC
BATTICALOA,2019,MEDICINE University of Colombo,2.5213
AMPARA,2019,MEDICINE University of Colombo,2.482
PUTTALAM,2019,MEDICINE University of Colombo,2.495
KURUNEGALA,2019,MEDICINE University of Colombo,2.5206
ANURADHAPURA,2019,MEDICINE University of Colombo,NQC
POLONNARUWA,2019,MEDICINE University of Colombo,2.469
BADULLA,2019,MEDICINE University of Colombo,2.477
MONARAGALA,2019,MEDICINE University of Colombo,2.5168
KEGALLE,2019,MEDICINE University of Colombo,NQC
RATNAPURA,2019,MEDICINE University of Colombo,2.4741
COLOMBO,2019,MEDICINE University of Peradeniya,2.3255
GAMPAHA,2019,MEDICINE University of Peradeniya,2.3317
KALUTARA,2019,MEDICINE University of Peradeniya,2.3277
MATALE,2019,MEDICINE University of Peradeniya,2.3456
KANDY,2019,MEDICINE University of Peradeniya,2.3727
NUWARA ELIYA,2019,MEDICINE University of Peradeniya,2.3809
GALLE,2019,MEDICINE University of Peradeniya,2.325
MATARA,2019,MEDICINE University of Peradeniya,2.3492
HAMBANTOTA,2019,MEDICINE University of Peradeniya,NQC
JAFFNA,2019,MEDICINE University of Peradeniya,2.366
KILINOCHCHI,2019,MEDICINE University of Peradeniya,NQC
MANNAR,2019,MEDICINE University of Peradeniya,NQC
MULLAITIVU,2019,MEDICINE University of Peradeniya,NQC
VAVUNIYA,2019,MEDICINE University of Peradeniya,NQC
TRINCOMALEE,2019,MEDICINE University of Peradeniya,NQC
BATTICALOA,2019,MEDICINE University of Peradeniya,2.3768
AMPARA,2019,MEDICINE University of Peradeniya,2.3294
PUTTALAM,2019,MEDICINE University of Peradeniya,2.4914
KURUNEGALA,2019,MEDICINE University of Peradeniya,2.3312
ANURADHAPURA,2019,MEDICINE University of Peradeniya,2.4235
POLONNARUWA,2019,MEDICINE University of Peradeniya,2.4509
BADULLA,2019,MEDICINE University of Peradeniya,NQC
MONARAGALA,2019,MEDICINE University of Peradeniya,NQC
KEGALLE,2019,MEDICINE University of Peradeniya,2.3502
RATNAPURA,2019,MEDICINE University of Peradeniya,2.3453
COLOMBO,2019,MEDICINE University of Sri Jayewardenepura,2.2572
GAMPAHA,2019,MEDICINE University of Sri Jayewardenepura,2.43
KALUTARA,2019,MEDICINE University of Sri Jayewardenepura,2.2924
MATALE,2019,MEDICINE University of Sri Jayewardenepura,NQC
KANDY,2019,MEDICINE University of Sri Jayewardenepura,2.266
NUWARA ELIYA,2019,MEDICINE University of Sri Jayewardenepura,NQC
GALLE,2019,MEDICINE University of Sri Jayewardenepura,2.2716
MATARA,2019,MEDICINE University of Sri Jayewardenepura,2.2627
HAMBANTOTA,2019,MEDICINE University of Sri Jayewardenepura,NQC
JAFFNA,2019,MEDICINE University of Sri Jayewardenepura,2.2998
KILINOCHCHI,2019,MEDICINE University of Sri Jayewardenepura,NQC
MANNAR,2019,MEDICINE University of Sri Jayewardenepura,NQC
MULLAITIVU,2019,MEDICINE University of Sri Jayewardenepura,NQC
VAVUNIYA,2019,MEDICINE University of Sri Jayewardenepura,2.2646
TRINCOMALEE,2019,MEDICINE University of Sri Jayewardenepura,NQC
BATTICALOA,2019,MEDICINE University of Sri Jayewardenepura,2.4249
AMPARA,2019,MEDICINE University of Sri Jayewardenepura,2.2747
PUTTALAM,2019,MEDICINE University of Sri Jayewardenepura,2.2819
KURUNEGALA,2019,MEDICINE University of Sri Jayewardenepura,2.2594
ANURADHAPURA,2019,MEDICINE University of Sri Jayewardenepura,NQC
POLONNARUWA,2019,MEDICINE University of Sri Jayewardenepura,2.2598
BADULLA,2019,MEDICINE University of Sri Jayewardenepura,2.292
MONARAGALA,2019,MEDICINE University of Sri Jayewardenepura,NQC
KEGALLE,2019,MEDICINE University of Sri Jayewardenepura,NQC
RATNAPURA,2019,MEDICINE University of Sri Jayewardenepura,2.2627
COLOMBO,2019,MEDICINE University of Kelaniya,2.2016
GAMPAHA,2019,MEDICINE University of Kelaniya,2.2054
KALUTARA,2019,MEDICINE University of Kelaniya,2.2006
MATALE,2019,MEDICINE University of Kelaniya,NQC
KANDY,2019,MEDICINE University of Kelaniya,2.199
NUWARA ELIYA,2019,MEDICINE University of Kelaniya,NQC
GALLE,2019,MEDICINE University of Kelaniya,NQC
MATARA,2019,MEDICINE University of Kelaniya,2.2097
