District,students_sat,students_passed,stream,year
Kegalle,597,478,bio sys tech,2021
Ampara,505,400,bio sys tech,2021
Nuwara Eliya,401,314,bio sys tech,2021
Badulla,617,476,bio sys tech,2021
Kalutara,419,318,bio sys tech,2021
Batticaloa,313,238,bio sys tech,2021
Kurunegala,1777,584,bio sys tech,2021
Matara,494,368,bio sys tech,2021
Matale,318,235,bio sys tech,2021
Anuradhapura,450,331,bio sys tech,2021
Kandy,848,622,bio sys tech,2021
Mullaitivu,33,24,bio sys tech,2021
Gampaha,526,379,bio sys tech,2021
Trincomalee,161,115,bio sys tech,2021
Hambantota,408,291,bio sys tech,2021
Galle,358,255,bio sys tech,2021
Colombo,437,311,bio sys tech,2021
Monaragala,295,205,bio sys tech,2021
Batticaloa,310,214,bio sys tech,2021
Ratnapura,675,457,bio sys tech,2021
Vavuniya,44,28,bio sys tech,2021
Polonnaruwa,153,94,bio sys tech,2021
Puttalam,54,30,bio sys tech,2021
Kilinochchi,57,30,bio sys tech,2021
All Island,9367,6857,bio sys tech,2021
Batticaloa,898,654,commerce,2021
Jaffna,949,685,commerce,2021
Puttalam,1654,1178,commerce,2021
Monaragala,1210,852,commerce,2021
Kurunegala,3688,2583,commerce,2021
Colombo,947,6959,commerce,2021
Badulla,2102,1452,commerce,2021
Nuwara Eliya,1672,1136,commerce,2021
Galle,2992,2028,commerce,2021
Matara,2266,1534,commerce,2021
Matale,1251,845,commerce,2021
Mannar,270,182,commerce,2021
Kilinochchi,241,162,commerce,2021
Ampara,1217,810,commerce,2021
Kandy,4366,2873,commerce,2021
Kegalle,2243,1479,commerce,2021
Kalutara,3592,2360,commerce,2021
Ratnapura,2904,1906,commerce,2021
Polonnaruwa,1016,665,commerce,2021
Gampaha,6846,4453,commerce,2021
Trincomalee,669,432,commerce,2021
Anuradhapura,2188,1376,commerce,2021
Mullaitivu,229,144,commerce,2021
Hambantota,1365,851,commerce,2021
Vavuniya,326,200,commerce,2021
All Island,56091,37799,commerce,2021
Puttalam,2997,2246,arts,2020
Monaragala,2548,1899,arts,2020
Mannar,611,452,arts,2020
Badulla,4572,3375,arts,2020
Kurunegala,9241,6812,arts,2020
Mullaitivu,683,499,arts,2020
Kegalle,4176,3015,arts,2020
Trincomalee,1952,1408,arts,2020
Jaffna,2886,2072,arts,2020
Nuwara Eliya,3188,2282,arts,2020
Anuradhapura,4755,3372,arts,2020
Kilinochchi,764,540,arts,2020
Ratnapura,5399,3792,arts,2020
Matara,3999,2792,arts,2020
Polonnaruwa,1947,1359,arts,2020
Gampaha,7391,5142,arts,2020
Galle,4906,3394,arts,2020
Ampara,3148,2156,arts,2020
Matale,2850,1976,arts,2020
Kalutara,4964,3332,arts,2020
Vavuniya,860,576,arts,2020
Batticaloa,2583,1729,arts,2020
Kandy,7221,4796,arts,2020
Hambantota,3676,2371,arts,2020
Colombo,6766,4371,arts,2020
All Island,93612,65548,arts,2020
Jaffna,1219,762,physical science,2022
Galle,2321,1430,physical science,2022
Matara,1921,1175,physical science,2022
Colombo,4500,2715,physical science,2022
Batticaloa,580,344,physical science,2022
Puttalam,715,417,physical science,2022
Trincomalee,385,224,physical science,2022
Kalutara,1895,1086,physical science,2022
Badulla,1400,793,physical science,2022
Kandy,2088,1180,physical science,2022
Kurunegala,2592,1458,physical science,2022
Mannar,98,55,physical science,2022
Kegalle,1243,697,physical science,2022
Mullaitivu,109,61,physical science,2022
Matale,445,247,physical science,2022
Vavuniya,211,117,physical science,2022
Monaragala,603,332,physical science,2022
Gampaha,3289,1798,physical science,2022
Ratnapura,1515,827,physical science,2022
Hambantota,1346,726,physical science,2022
Ampara,862,459,physical science,2022
Polonnaruwa,430,210,physical science,2022
Anuradhapura,1136,536,physical science,2022
Nuwara Eliya,617,290,physical science,2022
Kilinochchi,210,89,physical science,2022
All Island,31730,18028,physical science,2022
Colombo,1532,1099,eng tech,2022
Kilinochchi,35,25,eng tech,2022
Galle,841,592,eng tech,2022
Kurunegala,1325,916,eng tech,2022
Gampaha,1540,1055,eng tech,2022
Matara,854,581,eng tech,2022
Trincomalee,170,115,eng tech,2022
Kalutara,778,526,eng tech,2022
Ratnapura,835,562,eng tech,2022
Nuwara Eliya,434,291,eng tech,2022
Batticaloa,315,211,eng tech,2022
Matale,408,268,eng tech,2022
Badulla,799,522,eng tech,2022
Puttalam,386,251,eng tech,2022
Kegalle,776,504,eng tech,2022
Hambantota,597,383,eng tech,2022
Anuradhapura,719,457,eng tech,2022
Ampara,439,277,eng tech,2022
